day,Malaysia,Singapore,Indonesia,Brunei,Thailand,Philippines
681,2644027,267150,4256998,15111,2125729,2833473
682,2649578,267916,4257243,15142,2130641,2833878
683,2654474,268659,4257489,15164,2136537,2834294
684,2658772,269211,4257685,15186,2141241,2834775
685,2663034,269873,4257815,15202,2145241,2835154
686,2667999,270588,4258076,15229,2148766,2835345
687,2673019,271297,4258340,15244,2152384,2835593
688,2678465,271979,4258560,15301,2156587,2835996
689,2683523,272433,4258752,15283,2160780,2836200
690,2688149,272992,4258980,15343,2164859,2836360
691,2691639,273362,4259143,15348,2168646,2836592
692,2695143,273701,4259249,15362,2172044,2836803
693,2699240,274143,4259439,15363,2174906,2836868
694,2703140,274617,4259644,15372,2178276,2836915
695,2707402,274972,4259857,15376,2181960,2837016
